gene_ID	fit1_conv	fit0_conv	pval	padj	baseMean	log2FoldChange	gene	upreg_24206	upreg_32537	upreg_deseq
ENSG00000105664	TRUE	TRUE	4.16614305133168e-20	1.28338036696272e-15	94.4030694771237	3.46470996041926	COMP	TRUE	TRUE	TRUE
ENSG00000211448	TRUE	TRUE	1.34831892238064e-18	2.07674822019677e-14	143.305804864205	2.75204489421188	DIO2	TRUE	TRUE	TRUE
ENSG00000145824	TRUE	TRUE	1.18976667778623e-15	1.22169208364016e-11	195.811845982367	4.1099480366348	CXCL14	TRUE	TRUE	TRUE
ENSG00000062038	TRUE	TRUE	6.8310783271051e-14	3.00616239809247e-10	331.422618698564	2.00136619635748	CDH3	TRUE	TRUE	TRUE
ENSG00000145423	TRUE	TRUE	4.79802912959935e-11	6.88497878447492e-08	729.934508034632	3.39202185633478	SFRP2	TRUE	TRUE	TRUE
ENSG00000000971	TRUE	TRUE	4.82924918273407e-11	6.88497878447492e-08	2729.42547162846	1.63941045095999	CFH	TRUE	TRUE	TRUE
ENSG00000175928	TRUE	TRUE	8.4911314001479e-11	1.12030058846291e-07	92.5969904533853	1.8223651712239	LRRN1	TRUE	TRUE	TRUE
ENSG00000182463	TRUE	TRUE	5.55208297099487e-10	4.50083989267097e-07	225.431094999841	1.76531810064298	TSHZ2	TRUE	TRUE	TRUE
ENSG00000155511	TRUE	TRUE	5.95394844240003e-09	3.82107045350277e-06	148.058663004366	-1.52862106777554	GRIA1	FALSE	FALSE	FALSE
ENSG00000163251	TRUE	TRUE	6.66276754738964e-09	3.98333148223071e-06	547.275422509616	-1.45857581559415	FZD5	FALSE	FALSE	FALSE
ENSG00000113805	TRUE	TRUE	1.02812678973543e-08	5.65561531389282e-06	75.7703449501151	1.54076881527312	CNTN3	TRUE	TRUE	TRUE
ENSG00000169851	TRUE	TRUE	3.82599867691301e-08	1.708114336845e-05	234.877365693036	1.40542876683737	PCDH7	TRUE	TRUE	TRUE
ENSG00000156103	TRUE	TRUE	5.52660112230111e-08	2.18832621891482e-05	78.0534808830873	1.68561776230484	MMP16	TRUE	TRUE	TRUE
ENSG00000187955	TRUE	TRUE	7.72343227092375e-08	2.90146745250983e-05	2007.03169493793	2.19925252878996	COL14A1	TRUE	TRUE	TRUE
ENSG00000105855	TRUE	TRUE	9.34455700037064e-08	3.30872503903928e-05	305.187260742847	1.41724496655499	ITGB8	TRUE	TRUE	TRUE
ENSG00000109654	TRUE	TRUE	9.65199986214841e-08	3.37874836083502e-05	1121.23974882798	1.18785257537483	TRIM2	TRUE	TRUE	TRUE
ENSG00000095713	TRUE	TRUE	1.08951196181451e-07	3.77105797569617e-05	287.510518138693	-1.988600530652	CRTAC1	FALSE	FALSE	FALSE
ENSG00000131435	TRUE	TRUE	1.53341392741339e-07	4.86977484886282e-05	130.304284210827	2.1893790952091	PDLIM4	TRUE	TRUE	TRUE
ENSG00000160200	TRUE	TRUE	1.66576540545395e-07	5.1832225570716e-05	232.352305302483	-1.82259020573771	CBS	FALSE	FALSE	FALSE
ENSG00000137573	TRUE	TRUE	1.87795262653287e-07	5.5776244176443e-05	645.398385653549	1.76003855185017	SULF1	TRUE	TRUE	TRUE
